"id_log";"usuario";"data"
"545";"3";"2018-08-29 14:08:00"
"546";"3";"2018-08-29 14:08:00"
"547";"3";"2018-08-29 14:08:00"
"548";"3";"2018-08-29 14:08:00"
"549";"3";"2018-08-29 14:08:00"
"550";"3";"2018-08-29 14:08:00"
"551";"3";"2018-08-29 14:08:00"
"552";"3";"2018-08-29 14:08:00"
"553";"3";"2018-08-29 14:08:00"
"554";"3";"2018-08-29 14:08:00"
"555";"3";"2018-08-29 14:08:00"
"556";"3";"2018-08-29 14:08:00"
"557";"3";"2018-08-29 14:08:00"
"558";"3";"2018-08-29 14:08:00"
"559";"3";"2018-08-29 14:08:00"
"560";"3";"2018-08-29 14:08:00"
"561";"3";"2018-08-29 14:08:00"
"562";"3";"2018-08-29 14:08:00"
"563";"3";"2018-08-29 14:08:00"
"564";"3";"2018-08-29 14:08:00"
"565";"3";"2018-08-29 14:08:00"
"566";"3";"2018-08-29 14:08:00"
"567";"3";"2018-08-29 14:08:00"
"568";"4";"2018-08-29 14:08:00"
"569";"4";"2018-08-29 14:08:00"
"570";"4";"2018-08-29 14:08:00"
"571";"4";"2018-08-29 14:08:00"
"572";"4";"2018-08-29 14:08:00"
"573";"4";"2018-08-29 14:08:00"
"574";"4";"2018-08-29 14:08:00"
"575";"4";"2018-08-29 14:08:00"
"576";"4";"2018-08-29 14:08:00"
"577";"4";"2018-08-29 14:08:00"
"578";"4";"2018-08-29 14:08:00"
"579";"4";"2018-08-29 14:08:00"
"580";"4";"2018-08-29 14:08:00"
"581";"4";"2018-08-29 14:08:00"
"582";"4";"2018-08-29 14:08:00"
"583";"4";"2018-08-29 14:08:00"
"584";"4";"2018-08-29 14:08:00"
"585";"4";"2018-08-29 14:08:00"
"586";"4";"2018-08-29 14:08:00"
"587";"4";"2018-08-29 17:08:00"
"588";"4";"2018-08-29 17:08:00"
"589";"4";"2018-08-29 17:08:00"
"590";"4";"2018-08-29 17:08:00"
"591";"4";"2018-08-29 17:08:00"
"592";"3";"2018-08-29 18:08:00"
"593";"3";"2018-08-29 18:08:00"
"594";"3";"2018-08-29 18:08:00"
"595";"3";"2018-08-29 18:08:00"
"596";"3";"2018-08-29 18:08:00"
"597";"3";"2018-08-29 18:08:00"
"598";"3";"2018-08-29 18:08:00"
"599";"3";"2018-08-29 18:08:00"
"600";"3";"2018-08-29 18:08:00"
"601";"3";"2018-08-29 18:08:00"
"602";"4";"2018-08-30 14:08:00"
"603";"4";"2018-08-30 14:08:00"
"604";"4";"2018-08-30 14:08:00"
"605";"4";"2018-08-30 14:08:00"
"606";"3";"2018-08-30 17:08:00"
"607";"3";"2018-08-30 17:08:00"
"608";"3";"2018-08-30 17:08:00"
"609";"3";"2018-08-30 17:08:00"
"610";"3";"2018-08-30 17:08:00"
"611";"3";"2018-08-30 17:08:00"
"612";"3";"2018-08-30 17:08:00"
"613";"3";"2018-08-30 17:08:00"
"614";"3";"2018-08-30 17:08:00"
"615";"3";"2018-08-30 17:08:00"
